FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,PATANJALI,24-Apr-2025,0,FF,,,,,,,,,,,,,,27-Feb-2025,2025-02-26T18:30:00.000+00:00,1812.6,
FUTSTK,PATANJALI,27-Mar-2025,0,FF,,,,,,,,,,,,,,27-Feb-2025,2025-02-26T18:30:00.000+00:00,1812.6,
FUTSTK,PATANJALI,29-May-2025,0,FF,,,,,,,,,,,,,,27-Feb-2025,2025-02-26T18:30:00.000+00:00,1812.6,
FUTSTK,PATANJALI,29-May-2025,0,XX,N,1662.85,1662.85,1662.85,1662.85,1662.85,1845.3,1789.2,300.0,498855.0,300.0,300.0,300.0,28-Feb-2025,2025-02-27T18:30:00.000+00:00,1760.55,498855.0
FUTSTK,PATANJALI,24-Apr-2025,0,XX,N,1700.0,1801.1,1560.05,1756.65,1766.75,1832.65,1756.65,30900.0,51651300.0,8700.0,8700.0,300.0,28-Feb-2025,2025-02-27T18:30:00.000+00:00,1760.55,51651300.0
FUTSTK,PATANJALI,27-Mar-2025,0,XX,N,1780.0,1819.45,1570.0,1767.6,1769.0,1822.4,1767.6,2685600.0,4589087295.0,1183200.0,1183200.0,300.0,28-Feb-2025,2025-02-27T18:30:00.000+00:00,1760.55,4589087295.0
FUTSTK,PATANJALI,29-May-2025,0,XX,N,0.0,0.0,0.0,1662.85,1662.85,1662.85,1776.8,0.0,0.0,300.0,0.0,300.0,03-Mar-2025,2025-03-02T18:30:00.000+00:00,1749.5,0.0
FUTSTK,PATANJALI,27-Mar-2025,0,XX,N,1762.15,1766.85,1702.0,1753.8,1734.05,1767.6,1753.8,2399700.0,4157112750.0,1719900.0,536700.0,300.0,03-Mar-2025,2025-03-02T18:30:00.000+00:00,1749.5,4157112750.0
FUTSTK,PATANJALI,24-Apr-2025,0,XX,N,1712.75,1750.0,1694.85,1736.95,1725.85,1756.65,1736.95,32700.0,56292495.0,19500.0,10800.0,300.0,03-Mar-2025,2025-03-02T18:30:00.000+00:00,1749.5,56292495.0
FUTSTK,PATANJALI,27-Mar-2025,0,XX,N,1720.3,1749.0,1714.15,1738.05,1736.7,1753.8,1738.05,502500.0,872165010.0,1776900.0,57000.0,300.0,04-Mar-2025,2025-03-03T18:30:00.000+00:00,1731.95,872165010.0
FUTSTK,PATANJALI,29-May-2025,0,XX,N,0.0,0.0,0.0,1662.85,1662.85,1662.85,1758.9,0.0,0.0,300.0,0.0,300.0,04-Mar-2025,2025-03-03T18:30:00.000+00:00,1731.95,0.0
