FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,PNBHOUSING,24-Apr-2025,0.0,FF,,,,,,,,,,,,,,27-Mar-2025,2025-03-26T18:30:00.000+00:00,871.0,
FUTSTK,PNBHOUSING,29-May-2025,0.0,FF,,,,,,,,,,,,,,27-Mar-2025,2025-03-26T18:30:00.000+00:00,871.0,
FUTSTK,PNBHOUSING,26-Jun-2025,0.0,FF,,,,,,,,,,,,,,27-Mar-2025,2025-03-26T18:30:00.000+00:00,871.0,
FUTSTK,PNBHOUSING,24-Apr-2025,,XX,N,878.0,908.4,875.8,886.6,884.35,875.8,886.6,1751.0,1014658937.5,544700.0,544700.0,650.0,28-Mar-2025,,881.5,
FUTSTK,PNBHOUSING,29-May-2025,,XX,N,897.6,904.25,884.6,887.55,886.1,882.05,887.55,9.0,5216120.0,2600.0,2600.0,650.0,28-Mar-2025,,881.5,
FUTSTK,PNBHOUSING,26-Jun-2025,,XX,N,890.2,890.2,890.2,890.2,890.2,887.0,890.2,1.0,578630.0,650.0,650.0,650.0,28-Mar-2025,,881.5,
FUTSTK,PNBHOUSING,24-Apr-2025,,XX,N,881.7,884.8,859.5,878.5,884.4,886.6,878.5,851.0,481338227.5,841750.0,297050.0,650.0,01-Apr-2025,,872.95,
FUTSTK,PNBHOUSING,29-May-2025,,XX,N,0.0,0.0,0.0,887.55,886.1,887.55,887.55,0.0,0.0,2600.0,0.0,650.0,01-Apr-2025,,872.95,
FUTSTK,PNBHOUSING,26-Jun-2025,,XX,N,0.0,0.0,0.0,890.2,890.2,890.2,890.2,0.0,0.0,650.0,0.0,650.0,01-Apr-2025,,872.95,
FUTSTK,PNBHOUSING,24-Apr-2025,,XX,N,880.1,929.05,873.4,922.2,925.0,878.5,922.2,1800.0,1066206765.0,1328600.0,486850.0,650.0,02-Apr-2025,,917.1,
FUTSTK,PNBHOUSING,29-May-2025,,XX,N,880.6,926.3,880.6,922.25,926.0,887.55,922.25,32.0,18882922.5,15600.0,13000.0,650.0,02-Apr-2025,,917.1,
